,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"b'173378.31734,'","b'3,'","b'0.273,'","b'-0.488,'","b'9.984,'","b'4,'","b'-0.001,'","b'-0.001,'","b'-0.000,'","b'5,'","b'16.563,'","b'1.563,-47.250,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.31886,'","b'3,'","b'0.268,'","b'-0.498,'","b'9.988,'","b'4,'","b'-0.001,'","b'-0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.32046,'","b'3,'","b'0.276,'","b'-0.493,'","b'9.994,'","b'4,'","b'-0.000,'","b'-0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.32241,'","b'3,'","b'0.273,'","b'-0.493,'","b'9.979,'","b'4,'","b'0.000,'","b'-0.001,'","b'-0.001,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.32453,'","b'3,'","b'0.270,'","b'-0.490,'","b'9.970,'","b'4,'","b'-0.001,'","b'-0.000,'","b'-0.000,'","b'82,'","b'-0.001,'","b'0.001,'","b'0.182,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.32734,'","b'3,'","b'0.268,'","b'-0.491,'","b'9.975,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'5,'","b'16.500,'","b'1.375,-47.375,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.32888,'","b'3,'","b'0.274,'","b'-0.497,'","b'9.981,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.33048,'","b'3,'","b'0.277,'","b'-0.496,'","b'9.977,'","b'4,'","b'-0.002,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.33241,'","b'3,'","b'0.275,'","b'-0.494,'","b'9.978,'","b'4,'","b'-0.002,'","b'-0.001,'","b'0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.33450,'","b'3,'","b'0.278,'","b'-0.493,'","b'9.976,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'82,'","b'-0.001,'","b'-0.008,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.33734,'","b'3,'","b'0.278,'","b'-0.491,'","b'9.979,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'5,'","b'16.688,'","b'1.500,-47.313,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.33947,'","b'3,'","b'0.277,'","b'-0.488,'","b'9.989,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
